Model,MSE,MAE,R2
LinearRegression,10549721686.159279,82657.946058922,0.9146454505138069
RobustRegression,61664910393.24919,199465.55955429235,0.5010881990728202
RidgeRegression,10549745186.670172,82659.67244409776,0.91464526037841
LassoRegression,10549717660.356377,82657.94662172231,0.9146454830853386
ElasticNet,15081376466.559593,99126.80843102593,0.8779812271613102
PolynomialRegression,15943712231.11863,97862.9688226166,0.8710043340375482
SGDRegressor,7.233940950635556e+35,8.328234306091118e+17,-5.852758861508973e+24
ANN,61390359082.671524,199155.70734224786,0.5033095091814977
RandomForest,15013028548.49357,98546.84040298662,0.8785342091193554
SVM,123546565157.52672,282947.68758691323,0.0004227861838135283
LGBM,13097708114.507051,92133.9888284538,0.8940304769478327
XGBoost,15943249530.43311,102160.92081000573,0.8710080776063108
KNN,60395811313.31432,198086.23684543537,0.5113560889227768
